expenditure_regions,expenditure_year,expenditure_category,expenditure_value
Auckland,2007,Total,1063.7
Auckland,2010,Total,1142.6
Auckland,2013,Total,1265.8
Auckland,2016,Total,1533.3
Auckland,2019,Total,1548.9
Wellington,2007,Total,1106.5
Wellington,2010,Total,1233.9
Wellington,2013,Total,1241.5
Wellington,2016,Total,1255
Wellington,2019,Total,1474.7
Rest of North Island,2007,Total,852.2
Rest of North Island,2010,Total,874.6
Rest of North Island,2013,Total,978.1
Rest of North Island,2016,Total,1091.3
Rest of North Island,2019,Total,1190.1
Canterbury,2007,Total,930.8
Canterbury,2010,Total,1004.2
Canterbury,2013,Total,1080.8
Canterbury,2016,Total,1185
Canterbury,2019,Total,1323.7
Rest of South Island,2007,Total,937.6
Rest of South Island,2010,Total,937.2
Rest of South Island,2013,Total,988.1
Rest of South Island,2016,Total,1097.1
Rest of South Island,2019,Total,1148.3
Auckland,2007,Food,182
Auckland,2010,Food,198.3
Auckland,2013,Food,217.7
Auckland,2016,Food,255.2
Auckland,2019,Food,262.9
Wellington,2007,Food,180.4
Wellington,2010,Food,202.5
Wellington,2013,Food,199.1
Wellington,2016,Food,227.8
Wellington,2019,Food,260.2
Rest of North Island,2007,Food,143.5
Rest of North Island,2010,Food,156.6
Rest of North Island,2013,Food,175
Rest of North Island,2016,Food,184.6
Rest of North Island,2019,Food,205.7
Canterbury,2007,Food,156.5
Canterbury,2010,Food,173.9
Canterbury,2013,Food,187.3
Canterbury,2016,Food,196.3
Canterbury,2019,Food,236
Rest of South Island,2007,Food,159.1
Rest of South Island,2010,Food,168
Rest of South Island,2013,Food,169.2
Rest of South Island,2016,Food,192
Rest of South Island,2019,Food,202.4
Auckland,2007,"Alcoholic beverages, tobacco and illicit drugs",26.8
Auckland,2010,"Alcoholic beverages, tobacco and illicit drugs",27.1
Auckland,2013,"Alcoholic beverages, tobacco and illicit drugs",29.6
Auckland,2016,"Alcoholic beverages, tobacco and illicit drugs",27.7
Auckland,2019,"Alcoholic beverages, tobacco and illicit drugs",24.7
Wellington,2007,"Alcoholic beverages, tobacco and illicit drugs",32.7
Wellington,2010,"Alcoholic beverages, tobacco and illicit drugs",37.9
Wellington,2013,"Alcoholic beverages, tobacco and illicit drugs",28
Wellington,2016,"Alcoholic beverages, tobacco and illicit drugs",37.5
Wellington,2019,"Alcoholic beverages, tobacco and illicit drugs",34.3
Rest of North Island,2007,"Alcoholic beverages, tobacco and illicit drugs",22.5
Rest of North Island,2010,"Alcoholic beverages, tobacco and illicit drugs",25.3
Rest of North Island,2013,"Alcoholic beverages, tobacco and illicit drugs",26.9
Rest of North Island,2016,"Alcoholic beverages, tobacco and illicit drugs",28.2
Rest of North Island,2019,"Alcoholic beverages, tobacco and illicit drugs",29.3
Canterbury,2007,"Alcoholic beverages, tobacco and illicit drugs",30.8
