income_regions,income_year,income_age_group,income_value
Northland Region,1998,15 to 19,98
Northland Region,1999,15 to 19,
Northland Region,2000,15 to 19,93
Northland Region,2001,15 to 19,95
Northland Region,2002,15 to 19,124
Northland Region,2003,15 to 19,98
Northland Region,2004,15 to 19,94
Northland Region,2005,15 to 19,122
Northland Region,2006,15 to 19,144
Northland Region,2007,15 to 19,165
Northland Region,2008,15 to 19,222
Northland Region,2009,15 to 19,118
Northland Region,2010,15 to 19,124
Northland Region,2011,15 to 19,116
Northland Region,2012,15 to 19,163
Northland Region,2013,15 to 19,148
Northland Region,2014,15 to 19,139
Northland Region,2015,15 to 19,129
Northland Region,2016,15 to 19,97
Northland Region,2017,15 to 19,78
Northland Region,2018,15 to 19,153
Northland Region,2019,15 to 19,238
Northland Region,2020,15 to 19,218
Auckland Region,1998,15 to 19,98
Auckland Region,1999,15 to 19,94
Auckland Region,2000,15 to 19,98
Auckland Region,2001,15 to 19,113
Auckland Region,2002,15 to 19,110
Auckland Region,2003,15 to 19,106
Auckland Region,2004,15 to 19,110
Auckland Region,2005,15 to 19,119
Auckland Region,2006,15 to 19,124
Auckland Region,2007,15 to 19,133
Auckland Region,2008,15 to 19,126
Auckland Region,2009,15 to 19,118
Auckland Region,2010,15 to 19,96
Auckland Region,2011,15 to 19,77
Auckland Region,2012,15 to 19,88
Auckland Region,2013,15 to 19,99
Auckland Region,2014,15 to 19,112
Auckland Region,2015,15 to 19,118
Auckland Region,2016,15 to 19,114
Auckland Region,2017,15 to 19,104
Auckland Region,2018,15 to 19,99
Auckland Region,2019,15 to 19,145
Auckland Region,2020,15 to 19,129
Waikato Region,1998,15 to 19,89
Waikato Region,1999,15 to 19,114
Waikato Region,2000,15 to 19,108
Waikato Region,2001,15 to 19,119
Waikato Region,2002,15 to 19,123
Waikato Region,2003,15 to 19,136
Waikato Region,2004,15 to 19,156
Waikato Region,2005,15 to 19,149
Waikato Region,2006,15 to 19,168
Waikato Region,2007,15 to 19,140
Waikato Region,2008,15 to 19,164
Waikato Region,2009,15 to 19,131
Waikato Region,2010,15 to 19,123
Waikato Region,2011,15 to 19,113
Waikato Region,2012,15 to 19,129
Waikato Region,2013,15 to 19,127
Waikato Region,2014,15 to 19,101
Waikato Region,2015,15 to 19,162
Waikato Region,2016,15 to 19,121
Waikato Region,2017,15 to 19,123
Waikato Region,2018,15 to 19,168
Waikato Region,2019,15 to 19,173
Waikato Region,2020,15 to 19,174
Bay of Plenty Region,1998,15 to 19,104
Bay of Plenty Region,1999,15 to 19,102
Bay of Plenty Region,2000,15 to 19,105
Bay of Plenty Region,2001,15 to 19,109
Bay of Plenty Region,2002,15 to 19,116
Bay of Plenty Region,2003,15 to 19,125
Bay of Plenty Region,2004,15 to 19,147
Bay of Plenty Region,2005,15 to 19,139
Bay of Plenty Region,2006,15 to 19,143
Bay of Plenty Region,2007,15 to 19,191
Bay of Plenty Region,2008,15 to 19,147
Bay of Plenty Region,2009,15 to 19,135
Bay of Plenty Region,2010,15 to 19,121
Bay of Plenty Region,2011,15 to 19,185
Bay of Plenty Region,2012,15 to 19,124
Bay of Plenty Region,2013,15 to 19,140
Bay of Plenty Region,2014,15 to 19,125
Bay of Plenty Region,2015,15 to 19,206
Bay of Plenty Region,2016,15 to 19,139
Bay of Plenty Region,2017,15 to 19,153
Bay of Plenty Region,2018,15 to 19,181
Bay of Plenty Region,2019,15 to 19,158
Bay of Plenty Region,2020,15 to 19,163
Gisborne/Hawkes Bay Regions,1998,15 to 19,104
Gisborne/Hawkes Bay Regions,1999,15 to 19,99
Gisborne/Hawkes Bay Regions,2000,15 to 19,101
Gisborne/Hawkes Bay Regions,2001,15 to 19,125
Gisborne/Hawkes Bay Regions,2002,15 to 19,126
Gisborne/Hawkes Bay Regions,2003,15 to 19,109
Gisborne/Hawkes Bay Regions,2004,15 to 19,120
Gisborne/Hawkes Bay Regions,2005,15 to 19,123
Gisborne/Hawkes Bay Regions,2006,15 to 19,173
Gisborne/Hawkes Bay Regions,2007,15 to 19,194
Gisborne/Hawkes Bay Regions,2008,15 to 19,143
Gisborne/Hawkes Bay Regions,2009,15 to 19,128
Gisborne/Hawkes Bay Regions,2010,15 to 19,155
Gisborne/Hawkes Bay Regions,2011,15 to 19,140
Gisborne/Hawkes Bay Regions,2012,15 to 19,142
Gisborne/Hawkes Bay Regions,2013,15 to 19,97
Gisborne/Hawkes Bay Regions,2014,15 to 19,89
Gisborne/Hawkes Bay Regions,2015,15 to 19,148
Gisborne/Hawkes Bay Regions,2016,15 to 19,120
Gisborne/Hawkes Bay Regions,2017,15 to 19,122
Gisborne/Hawkes Bay Regions,2018,15 to 19,165
Gisborne/Hawkes Bay Regions,2019,15 to 19,172
Gisborne/Hawkes Bay Regions,2020,15 to 19,154
Taranaki Region,1998,15 to 19,85
Taranaki Region,1999,15 to 19,83
Taranaki Region,2000,15 to 19,73
Taranaki Region,2001,15 to 19,115
Taranaki Region,2002,15 to 19,121
Taranaki Region,2003,15 to 19,108
Taranaki Region,2004,15 to 19,113
Taranaki Region,2005,15 to 19,124
Taranaki Region,2006,15 to 19,141
Taranaki Region,2007,15 to 19,140
Taranaki Region,2008,15 to 19,195
Taranaki Region,2009,15 to 19,169
Taranaki Region,2010,15 to 19,164
Taranaki Region,2011,15 to 19,106
Taranaki Region,2012,15 to 19,119
Taranaki Region,2013,15 to 19,129
Taranaki Region,2014,15 to 19,161
Taranaki Region,2015,15 to 19,81
Taranaki Region,2016,15 to 19,114
Taranaki Region,2017,15 to 19,66
Taranaki Region,2018,15 to 19,188
Taranaki Region,2019,15 to 19,149
Taranaki Region,2020,15 to 19,196
Manawatu-Wanganui Region,1998,15 to 19,81
Manawatu-Wanganui Region,1999,15 to 19,77
Manawatu-Wanganui Region,2000,15 to 19,98
Manawatu-Wanganui Region,2001,15 to 19,121
Manawatu-Wanganui Region,2002,15 to 19,125
Manawatu-Wanganui Region,2003,15 to 19,104
Manawatu-Wanganui Region,2004,15 to 19,102
Manawatu-Wanganui Region,2005,15 to 19,140
Manawatu-Wanganui Region,2006,15 to 19,139
Manawatu-Wanganui Region,2007,15 to 19,149
Manawatu-Wanganui Region,2008,15 to 19,177
Manawatu-Wanganui Region,2009,15 to 19,133
Manawatu-Wanganui Region,2010,15 to 19,130
Manawatu-Wanganui Region,2011,15 to 19,115
Manawatu-Wanganui Region,2012,15 to 19,133
Manawatu-Wanganui Region,2013,15 to 19,140
Manawatu-Wanganui Region,2014,15 to 19,129
Manawatu-Wanganui Region,2015,15 to 19,128
Manawatu-Wanganui Region,2016,15 to 19,136
Manawatu-Wanganui Region,2017,15 to 19,134
Manawatu-Wanganui Region,2018,15 to 19,100
Manawatu-Wanganui Region,2019,15 to 19,177
Manawatu-Wanganui Region,2020,15 to 19,216
Wellington Region,1998,15 to 19,83
Wellington Region,1999,15 to 19,92
Wellington Region,2000,15 to 19,91
Wellington Region,2001,15 to 19,108
Wellington Region,2002,15 to 19,113
Wellington Region,2003,15 to 19,149
Wellington Region,2004,15 to 19,101
Wellington Region,2005,15 to 19,134
Wellington Region,2006,15 to 19,135
Wellington Region,2007,15 to 19,165
Wellington Region,2008,15 to 19,132
Wellington Region,2009,15 to 19,127
Wellington Region,2010,15 to 19,132
Wellington Region,2011,15 to 19,140
Wellington Region,2012,15 to 19,121
Wellington Region,2013,15 to 19,86
Wellington Region,2014,15 to 19,112
Wellington Region,2015,15 to 19,168
Wellington Region,2016,15 to 19,126
Wellington Region,2017,15 to 19,129
Wellington Region,2018,15 to 19,141
Wellington Region,2019,15 to 19,112
Wellington Region,2020,15 to 19,118
Nelson/Tasman/Marlborough/West Coast Regions,1998,15 to 19,89
Nelson/Tasman/Marlborough/West Coast Regions,1999,15 to 19,116
Nelson/Tasman/Marlborough/West Coast Regions,2000,15 to 19,122
Nelson/Tasman/Marlborough/West Coast Regions,2001,15 to 19,135
Nelson/Tasman/Marlborough/West Coast Regions,2002,15 to 19,131
Nelson/Tasman/Marlborough/West Coast Regions,2003,15 to 19,149
Nelson/Tasman/Marlborough/West Coast Regions,2004,15 to 19,167
Nelson/Tasman/Marlborough/West Coast Regions,2005,15 to 19,153
Nelson/Tasman/Marlborough/West Coast Regions,2006,15 to 19,190
Nelson/Tasman/Marlborough/West Coast Regions,2007,15 to 19,197
Nelson/Tasman/Marlborough/West Coast Regions,2008,15 to 19,232
Nelson/Tasman/Marlborough/West Coast Regions,2009,15 to 19,167
Nelson/Tasman/Marlborough/West Coast Regions,2010,15 to 19,174
Nelson/Tasman/Marlborough/West Coast Regions,2011,15 to 19,180
Nelson/Tasman/Marlborough/West Coast Regions,2012,15 to 19,217
Nelson/Tasman/Marlborough/West Coast Regions,2013,15 to 19,103
Nelson/Tasman/Marlborough/West Coast Regions,2014,15 to 19,139
Nelson/Tasman/Marlborough/West Coast Regions,2015,15 to 19,133
Nelson/Tasman/Marlborough/West Coast Regions,2016,15 to 19,158
Nelson/Tasman/Marlborough/West Coast Regions,2017,15 to 19,197
Nelson/Tasman/Marlborough/West Coast Regions,2018,15 to 19,194
Nelson/Tasman/Marlborough/West Coast Regions,2019,15 to 19,237
Nelson/Tasman/Marlborough/West Coast Regions,2020,15 to 19,151
Canterbury Region,1998,15 to 19,95
Canterbury Region,1999,15 to 19,90
Canterbury Region,2000,15 to 19,109
Canterbury Region,2001,15 to 19,115
Canterbury Region,2002,15 to 19,136
Canterbury Region,2003,15 to 19,120
Canterbury Region,2004,15 to 19,140
Canterbury Region,2005,15 to 19,158
Canterbury Region,2006,15 to 19,166
Canterbury Region,2007,15 to 19,162
Canterbury Region,2008,15 to 19,156
Canterbury Region,2009,15 to 19,151
Canterbury Region,2010,15 to 19,130
Canterbury Region,2011,15 to 19,119
Canterbury Region,2012,15 to 19,155
Canterbury Region,2013,15 to 19,158
Canterbury Region,2014,15 to 19,173
Canterbury Region,2015,15 to 19,178
Canterbury Region,2016,15 to 19,196
Canterbury Region,2017,15 to 19,136
Canterbury Region,2018,15 to 19,139
Canterbury Region,2019,15 to 19,134
Canterbury Region,2020,15 to 19,173
Otago Region,1998,15 to 19,87
Otago Region,1999,15 to 19,72
Otago Region,2000,15 to 19,77
Otago Region,2001,15 to 19,80
Otago Region,2002,15 to 19,99
Otago Region,2003,15 to 19,93
Otago Region,2004,15 to 19,106
Otago Region,2005,15 to 19,105
Otago Region,2006,15 to 19,118
Otago Region,2007,15 to 19,135
Otago Region,2008,15 to 19,120
Otago Region,2009,15 to 19,108
Otago Region,2010,15 to 19,115
Otago Region,2011,15 to 19,145
Otago Region,2012,15 to 19,143
Otago Region,2013,15 to 19,91
Otago Region,2014,15 to 19,156
Otago Region,2015,15 to 19,125
Otago Region,2016,15 to 19,122
Otago Region,2017,15 to 19,147
Otago Region,2018,15 to 19,122
Otago Region,2019,15 to 19,174
Otago Region,2020,15 to 19,198
Southland Region,1998,15 to 19,91
Southland Region,1999,15 to 19,128
Southland Region,2000,15 to 19,76
Southland Region,2001,15 to 19,138
Southland Region,2002,15 to 19,95
Southland Region,2003,15 to 19,166
Southland Region,2004,15 to 19,146
Southland Region,2005,15 to 19,159
Southland Region,2006,15 to 19,165
Southland Region,2007,15 to 19,196
Southland Region,2008,15 to 19,180
Southland Region,2009,15 to 19,139
Southland Region,2010,15 to 19,130
Southland Region,2011,15 to 19,116
Southland Region,2012,15 to 19,191
Southland Region,2013,15 to 19,140
Southland Region,2014,15 to 19,94
Southland Region,2015,15 to 19,122
Southland Region,2016,15 to 19,134
Southland Region,2017,15 to 19,150
Southland Region,2018,15 to 19,222
Southland Region,2019,15 to 19,228
Southland Region,2020,15 to 19,292
Northland Region,1998,20 to 24,334
Northland Region,1999,20 to 24,
Northland Region,2000,20 to 24,308
Northland Region,2001,20 to 24,412
Northland Region,2002,20 to 24,376
Northland Region,2003,20 to 24,361
Northland Region,2004,20 to 24,398
Northland Region,2005,20 to 24,417
Northland Region,2006,20 to 24,421
Northland Region,2007,20 to 24,467
Northland Region,2008,20 to 24,481
Northland Region,2009,20 to 24,481
Northland Region,2010,20 to 24,420
Northland Region,2011,20 to 24,505
Northland Region,2012,20 to 24,519
Northland Region,2013,20 to 24,507
Northland Region,2014,20 to 24,522
Northland Region,2015,20 to 24,539
Northland Region,2016,20 to 24,563
Northland Region,2017,20 to 24,642
